date,mvrv_zscore_raw,mvrv_zscore,mvrv_zscore_sell,ma_200w_raw,ma_200w,ma_200w_sell,monthly_rsi_raw,monthly_rsi,monthly_rsi_sell,eth_btc_ratio_raw,eth_btc_ratio,eth_btc_ratio_sell,mayer_multiple_raw,mayer_multiple,mayer_multiple_sell,fear_greed_raw,fear_greed,fear_greed_sell
2016-02-19,3.004404357549808,50,100,,50,0,19.51754008724066,100,0,-1.3724580114478986,100,0,,50,0,,50,0
2016-02-20,2.761562539501532,50,0,,50,0,19.51754008724066,100,0,-1.4173636317026577,100,0,,50,0,,50,0
2016-02-21,3.0314067435779313,50,100,,50,0,19.51754008724066,100,0,-1.3890971370449663,100,0,,50,0,,50,0
2016-02-22,4.004001408673693,0,100,,50,0,19.51754008724066,100,0,-1.2926600932201662,100,0,,50,0,,50,0
2016-02-23,3.9903836677360873,0,100,4.057906771666868,0,100,19.51754008724066,100,0,-1.2681034257532486,100,0,4.057906771666868,0,100,,50,0
2016-02-24,4.5879993417506775,0,100,4.432135619143562,0,100,19.51754008724066,100,0,-1.2101804947959314,100,0,4.4288827940285636,0,100,,50,0
2016-02-25,4.3658847481365886,0,100,4.247218412307705,0,100,19.51754008724066,100,0,-1.2267415048302195,100,0,4.24040519683098,0,100,,50,0
2016-02-26,3.4577053064988377,50,100,4.04761822136835,0,100,19.51754008724066,100,0,-1.2572578758337898,100,0,4.037121496200384,0,100,,50,0
2016-02-27,3.6894378153213787,0,100,4.277227968887176,0,100,19.51754008724066,100,0,-1.215658733318636,100,0,4.2582986671145315,0,100,,50,0
2016-02-28,3.8121103618977084,0,100,4.332757945963618,0,100,19.51754008724066,100,0,-1.1972157971558786,100,0,4.309461601434026,0,100,,50,0
2016-02-29,3.4620701684719695,50,100,4.157333137144161,0,100,48.86098782033059,50,0,-1.2203568934628046,100,0,4.138620565039407,0,100,,50,0
2016-03-01,3.815913738070312,0,100,4.848240539738464,0,100,48.86098782033059,50,0,-1.0947400121278945,100,0,4.82788678545326,0,100,,50,0
2016-03-02,3.6024527912533673,0,100,5.371628622470043,0,100,48.86098782033059,50,0,-0.9767401213362172,50,0,5.348911857847113,0,100,,50,0
2016-03-03,3.85821045001686,0,100,5.721808732475467,0,100,48.86098782033059,50,0,-0.8903396710083592,50,0,5.6914457350786885,0,100,,50,0
2016-03-04,3.699465147975577,0,100,6.002176464185514,0,100,48.86098782033059,50,0,-0.790942433056682,50,0,5.958173375650567,0,100,,50,0
2016-03-05,3.805533985671786,0,100,6.303406428621425,0,100,48.86098782033059,50,0,-0.6791542961875058,50,0,6.239247020666773,0,100,,50,0
2016-03-06,3.8130940707192407,0,100,6.279119092445748,0,100,48.86098782033059,50,0,-0.6727163470593754,50,0,6.19940817868871,0,100,,50,0
2016-03-07,3.02191514806421,50,100,5.307293022844162,0,100,48.86098782033059,50,0,-0.8564623895744061,50,0,5.231156662679673,0,100,,50,0
2016-03-08,2.857881985687072,50,0,5.360985546994023,0,100,48.86098782033059,50,0,-0.821224407294613,50,0,5.273192657188449,0,100,,50,0
